model_id,downloads (past month),quantization,num_ops,ops
HuggingFaceTB/SmolLM2-360M-Instruct,850482,q4,14,"Cast, Gather, GroupQueryAttention, MatMul, MatMulNBits, Mul, ReduceSum, RotaryEmbedding, Shape, Sigmoid, SimplifiedLayerNormalization, SkipSimplifiedLayerNormalization, Sub, Transpose"
HuggingFaceTB/SmolLM2-360M-Instruct,850482,int8,16,"Cast, DequantizeLinear, DynamicQuantizeLinear, Gather, GroupQueryAttention, MatMul, MatMulInteger, Mul, ReduceSum, RotaryEmbedding, Shape, Sigmoid, SimplifiedLayerNormalization, SkipSimplifiedLayerNormalization, Sub, Transpose"
HuggingFaceTB/SmolLM2-360M-Instruct,850482,fp32,13,"Cast, Gather, GroupQueryAttention, MatMul, Mul, ReduceSum, RotaryEmbedding, Shape, Sigmoid, SimplifiedLayerNormalization, SkipSimplifiedLayerNormalization, Sub, Transpose"
HuggingFaceTB/SmolLM2-360M-Instruct,850482,fp16,13,"Cast, Gather, GroupQueryAttention, MatMul, Mul, ReduceSum, RotaryEmbedding, Shape, Sigmoid, SimplifiedLayerNormalization, SkipSimplifiedLayerNormalization, Sub, Transpose"
HuggingFaceTB/SmolLM2-360M-Instruct,850482,bnb4,14,"Cast, Gather, GroupQueryAttention, MatMul, MatMulBnb4, Mul, ReduceSum, RotaryEmbedding, Shape, Sigmoid, SimplifiedLayerNormalization, SkipSimplifiedLayerNormalization, Sub, Transpose"
briaai/RMBG-1.4,801247,quantized,16,"Add, Cast, Concat, Constant, ConvInteger, DynamicQuantizeLinear, Gather, MaxPool, Mul, Relu, Reshape, Resize, Shape, Sigmoid, Slice, Unsqueeze"
briaai/RMBG-1.4,801247,fp32,13,"Add, Cast, Concat, Constant, Conv, Gather, MaxPool, Relu, Resize, Shape, Sigmoid, Slice, Unsqueeze"
briaai/RMBG-1.4,801247,fp16,13,"Add, Cast, Concat, Constant, Conv, Gather, MaxPool, Relu, Resize, Shape, Sigmoid, Slice, Unsqueeze"
jinaai/jina-reranker-v2-base-multilingual,790753,uint8,27,"Add, Cast, Concat, ConstantOfShape, CumSum, DequantizeLinear, Div, DynamicQuantizeLinear, Einsum, Equal, Erf, Gather, MatMulInteger, Mul, Not, Pow, ReduceMean, Reshape, Shape, Softmax, Split, Sqrt, Squeeze, Sub, Tanh, Unsqueeze, Where"
jinaai/jina-reranker-v2-base-multilingual,790753,quantized,27,"Add, Cast, Concat, ConstantOfShape, CumSum, DequantizeLinear, Div, DynamicQuantizeLinear, Einsum, Equal, Erf, Gather, MatMulInteger, Mul, Not, Pow, ReduceMean, Reshape, Shape, Softmax, Split, Sqrt, Squeeze, Sub, Tanh, Unsqueeze, Where"
jinaai/jina-reranker-v2-base-multilingual,790753,q4,26,"Add, Cast, Concat, ConstantOfShape, CumSum, Div, Einsum, Equal, Erf, Gather, Gemm, MatMulNBits, Mul, Not, Pow, ReduceMean, Reshape, Shape, Softmax, Split, Sqrt, Squeeze, Sub, Tanh, Unsqueeze, Where"
jinaai/jina-reranker-v2-base-multilingual,790753,int8,27,"Add, Cast, Concat, ConstantOfShape, CumSum, DequantizeLinear, Div, DynamicQuantizeLinear, Einsum, Equal, Erf, Gather, MatMulInteger, Mul, Not, Pow, ReduceMean, Reshape, Shape, Softmax, Split, Sqrt, Squeeze, Sub, Tanh, Unsqueeze, Where"
jinaai/jina-reranker-v2-base-multilingual,790753,fp32,26,"Add, Cast, Concat, ConstantOfShape, CumSum, Div, Einsum, Equal, Erf, Gather, Gemm, MatMul, Mul, Not, Pow, ReduceMean, Reshape, Shape, Softmax, Split, Sqrt, Squeeze, Sub, Tanh, Unsqueeze, Where"
